Title,Genre,IMDb Rating,Year,Director,Actors
Mad Max: Fury Road,Action,8.1,2015,George Miller,"Tom Hardy, Charlize Theron, Nicholas Hoult"
John Wick,Action,7.5,2014,Chad Stahelski,"Keanu Reeves, Michael Nyqvist, Alfie Allen"
The Dark Knight,Action,9.1,2008,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart"
Forrest Gump,Drama,8.8,1994,Robert Zemeckis,"Tom Hanks, Robin Wright, Gary Sinise"
The Shawshank Redemption,Drama,9.3,1994,Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton"
The Godfather,Drama,9.2,1972,Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan"
Superbad,Comedy,7.6,2007,Greg Mottola,"Michael Cera, Jonah Hill, Christopher Mintz-Plasse"
The Hangover,Comedy,7.7,2009,Todd Phillips,"Zach Galifianakis, Bradley Cooper, Justin Bartha"
Step Brothers,Comedy,6.9,2008,Adam McKay,"Will Ferrell, John C. Reilly, Mary Steenburgen"
Hereditary,Horror,7.3,2018,Ari Aster,"Toni Collette, Milly Shapiro, Gabriel Byrne"
The Conjuring,Horror,7.5,2013,James Wan,"Patrick Wilson, Vera Farmiga, Ron Livingston"
A Quiet Place,Horror,7.5,2018,John Krasinski,"Emily Blunt, John Krasinski, Millicent Simmonds"
Inception,Science Fiction,8.8,2010,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page"
Interstellar,Science Fiction,8.7,2014,Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain"
The Matrix,Science Fiction,8.7,1999,"Lana Wachowski, Lilly Wachowski","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss"
